Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: Paraphrase train loss :: 0.738
Epoch 0: SST train loss :: 12.641
Epoch 0: STS train loss :: 6.291
Epoch 0: SST train loss :: 25.325
Epoch 0: Paraphrase train loss :: 1.406
Epoch 0: STS train loss :: 11.521
Epoch 0: SST train loss :: 38.268
Epoch 0: Paraphrase train loss :: 2.067
Epoch 0: STS train loss :: 19.866
Epoch 0: STS train loss :: 29.041
Epoch 0: SST train loss :: 51.429
Epoch 0: Paraphrase train loss :: 2.662
Epoch 0: SST train loss :: 63.756
Epoch 0: STS train loss :: 33.892
Epoch 0: Paraphrase train loss :: 3.441
Epoch 0: SST train loss :: 75.862
Epoch 0: STS train loss :: 39.422
Epoch 0: Paraphrase train loss :: 4.101
Epoch 0: Paraphrase train loss :: 4.794
Epoch 0: SST train loss :: 88.692
Epoch 0: STS train loss :: 43.262
Epoch 0: STS train loss :: 49.145
Epoch 0: SST train loss :: 101.657
Epoch 0: Paraphrase train loss :: 5.359
Epoch 0: STS train loss :: 52.383
Epoch 0: Paraphrase train loss :: 6.013
Epoch 0: SST train loss :: 116.068
Epoch 0: Paraphrase train loss :: 6.491
Epoch 0: STS train loss :: 59.908
Epoch 0: SST train loss :: 128.923
Epoch 0: SST train loss :: 140.184
Epoch 0: STS train loss :: 69.545
Epoch 0: Paraphrase train loss :: 7.172
Epoch 0: STS train loss :: 76.458
Epoch 0: Paraphrase train loss :: 7.744
Epoch 0: SST train loss :: 153.336
Epoch 0: SST train loss :: 165.177
Epoch 0: STS train loss :: 82.251
Epoch 0: Paraphrase train loss :: 8.490
Epoch 0: SST train loss :: 177.664
Epoch 0: Paraphrase train loss :: 9.069
Epoch 0: STS train loss :: 89.264
Epoch 0: STS train loss :: 96.540
Epoch 0: Paraphrase train loss :: 9.643
Epoch 0: SST train loss :: 189.280
Epoch 0: Paraphrase train loss :: 10.299
Epoch 0: STS train loss :: 101.301
Epoch 0: SST train loss :: 201.608
Epoch 0: SST train loss :: 215.519
Epoch 0: Paraphrase train loss :: 10.756
Epoch 0: STS train loss :: 106.214
Epoch 0: SST train loss :: 228.484
Epoch 0: Paraphrase train loss :: 11.324
Epoch 0: STS train loss :: 112.186
Epoch 0: SST train loss :: 241.739
Epoch 0: Paraphrase train loss :: 12.064
Epoch 0: STS train loss :: 114.163
Epoch 0: SST train loss :: 254.215
Epoch 0: Paraphrase train loss :: 12.547
Epoch 0: STS train loss :: 119.656
Epoch 0: SST train loss :: 268.338
Epoch 0: Paraphrase train loss :: 13.109
Epoch 0: STS train loss :: 124.934
Epoch 0: SST train loss :: 281.729
Epoch 0: STS train loss :: 128.651
Epoch 0: Paraphrase train loss :: 13.763
Epoch 0: Paraphrase train loss :: 14.489
Epoch 0: STS train loss :: 135.542
Epoch 0: SST train loss :: 293.863
Epoch 0: Paraphrase train loss :: 14.873
Epoch 0: STS train loss :: 139.452
Epoch 0: SST train loss :: 307.002
Epoch 0: STS train loss :: 143.865
Epoch 0: SST train loss :: 319.404
Epoch 0: Paraphrase train loss :: 15.521
Epoch 0: STS train loss :: 148.553
Epoch 0: Paraphrase train loss :: 16.265
Epoch 0: SST train loss :: 332.443
Epoch 0: STS train loss :: 152.682
Epoch 0: Paraphrase train loss :: 16.603
Epoch 0: SST train loss :: 345.094
Epoch 0: Paraphrase train loss :: 17.329
Epoch 0: SST train loss :: 358.740
Epoch 0: STS train loss :: 158.788
Epoch 0: STS train loss :: 166.611
Epoch 0: Paraphrase train loss :: 17.847
Epoch 0: SST train loss :: 372.154
Epoch 0: Paraphrase train loss :: 18.427
Epoch 0: STS train loss :: 168.691
Epoch 0: SST train loss :: 383.840
Epoch 0: SST train loss :: 397.471
Epoch 0: Paraphrase train loss :: 19.194
Epoch 0: STS train loss :: 174.961
Epoch 0: SST train loss :: 410.146
Epoch 0: STS train loss :: 181.928
Epoch 0: Paraphrase train loss :: 19.843
Epoch 0: Paraphrase train loss :: 20.628
Epoch 0: SST train loss :: 422.864
Epoch 0: STS train loss :: 185.474
Epoch 0: STS train loss :: 189.463
Epoch 0: Paraphrase train loss :: 21.422
Epoch 0: SST train loss :: 436.362
Epoch 0: STS train loss :: 192.232
Epoch 0: Paraphrase train loss :: 21.977
Epoch 0: SST train loss :: 449.600
Epoch 0: Paraphrase train loss :: 22.643
Epoch 0: STS train loss :: 197.423
Epoch 0: SST train loss :: 460.905
Epoch 0: STS train loss :: 202.833
Epoch 0: SST train loss :: 473.871
Epoch 0: Paraphrase train loss :: 23.350
Epoch 0: STS train loss :: 207.966
Epoch 0: Paraphrase train loss :: 24.098
Epoch 0: SST train loss :: 486.130
Epoch 0: SST train loss :: 499.470
Epoch 0: Paraphrase train loss :: 24.924
Epoch 0: STS train loss :: 209.862
Epoch 0: SST train loss :: 510.702
Epoch 0: STS train loss :: 212.750
Epoch 0: Paraphrase train loss :: 25.657
Epoch 0: SST train loss :: 522.744
Epoch 0: STS train loss :: 216.925
Epoch 0: Paraphrase train loss :: 26.293
Epoch 0: Paraphrase train loss :: 26.928
Epoch 0: SST train loss :: 536.625
Epoch 0: STS train loss :: 218.953
Epoch 0: STS train loss :: 223.296
Epoch 0: SST train loss :: 550.404
Epoch 0: Paraphrase train loss :: 27.594
