Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: Paraphrase train loss :: 1.235
Epoch 0: SST train loss :: 12.915
Epoch 0: STS train loss :: 7.304
Epoch 0: SST train loss :: 26.361
Epoch 0: Paraphrase train loss :: 2.520
Epoch 0: STS train loss :: 13.926
Epoch 0: SST train loss :: 40.116
Epoch 0: Paraphrase train loss :: 3.756
Epoch 0: STS train loss :: 19.753
Epoch 0: STS train loss :: 25.833
Epoch 0: SST train loss :: 52.450
Epoch 0: Paraphrase train loss :: 5.248
Epoch 0: SST train loss :: 66.373
Epoch 0: STS train loss :: 35.782
Epoch 0: Paraphrase train loss :: 6.572
Epoch 0: SST train loss :: 78.884
Epoch 0: STS train loss :: 43.514
Epoch 0: Paraphrase train loss :: 7.954
Epoch 0: Paraphrase train loss :: 9.096
Epoch 0: SST train loss :: 91.068
Epoch 0: STS train loss :: 50.789
Epoch 0: STS train loss :: 61.665
Epoch 0: SST train loss :: 104.250
Epoch 0: Paraphrase train loss :: 10.530
Epoch 0: STS train loss :: 70.552
Epoch 0: Paraphrase train loss :: 11.780
Epoch 0: SST train loss :: 117.170
Epoch 0: Paraphrase train loss :: 13.073
Epoch 0: STS train loss :: 81.956
Epoch 0: SST train loss :: 131.030
Epoch 0: SST train loss :: 145.435
Epoch 0: STS train loss :: 88.380
Epoch 0: Paraphrase train loss :: 14.340
Epoch 0: STS train loss :: 98.518
Epoch 0: Paraphrase train loss :: 15.571
Epoch 0: SST train loss :: 159.364
Epoch 0: SST train loss :: 172.324
Epoch 0: STS train loss :: 106.987
Epoch 0: Paraphrase train loss :: 16.713
Epoch 0: SST train loss :: 183.918
Epoch 0: Paraphrase train loss :: 17.893
Epoch 0: STS train loss :: 113.328
Epoch 0: STS train loss :: 114.968
Epoch 0: Paraphrase train loss :: 19.241
Epoch 0: SST train loss :: 198.157
Epoch 0: Paraphrase train loss :: 20.386
Epoch 0: STS train loss :: 119.764
Epoch 0: SST train loss :: 210.691
Epoch 0: SST train loss :: 223.237
Epoch 0: Paraphrase train loss :: 21.708
Epoch 0: STS train loss :: 128.124
Epoch 0: SST train loss :: 237.114
Epoch 0: Paraphrase train loss :: 23.040
Epoch 0: STS train loss :: 136.634
Epoch 0: SST train loss :: 249.088
Epoch 0: Paraphrase train loss :: 24.393
Epoch 0: STS train loss :: 142.222
Epoch 0: SST train loss :: 260.824
Epoch 0: Paraphrase train loss :: 25.550
Epoch 0: STS train loss :: 150.248
Epoch 0: SST train loss :: 274.036
Epoch 0: Paraphrase train loss :: 26.823
Epoch 0: STS train loss :: 154.462
Epoch 0: SST train loss :: 287.790
Epoch 0: STS train loss :: 163.125
Epoch 0: Paraphrase train loss :: 28.099
Epoch 0: Paraphrase train loss :: 29.511
Epoch 0: STS train loss :: 168.029
Epoch 0: SST train loss :: 301.147
Epoch 0: Paraphrase train loss :: 30.729
Epoch 0: STS train loss :: 178.208
Epoch 0: SST train loss :: 313.646
