Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: Paraphrase train loss :: 0.738
Epoch 0: SST train loss :: 12.636
Epoch 0: STS train loss :: 6.287
Epoch 0: SST train loss :: 25.275
Epoch 0: Paraphrase train loss :: 1.419
Epoch 0: STS train loss :: 11.430
Epoch 0: SST train loss :: 38.087
Epoch 0: Paraphrase train loss :: 2.097
Epoch 0: STS train loss :: 19.481
Epoch 0: STS train loss :: 28.232
Epoch 0: SST train loss :: 51.209
Epoch 0: Paraphrase train loss :: 2.764
Epoch 0: SST train loss :: 63.251
Epoch 0: STS train loss :: 33.054
Epoch 0: Paraphrase train loss :: 3.472
Epoch 0: SST train loss :: 75.110
Epoch 0: STS train loss :: 38.687
Epoch 0: Paraphrase train loss :: 4.140
Epoch 0: Paraphrase train loss :: 4.840
Epoch 0: SST train loss :: 88.223
Epoch 0: STS train loss :: 42.355
Epoch 0: STS train loss :: 47.603
Epoch 0: SST train loss :: 102.627
Epoch 0: Paraphrase train loss :: 5.457
Epoch 0: STS train loss :: 50.594
Epoch 0: Paraphrase train loss :: 6.133
Epoch 0: SST train loss :: 116.917
Epoch 0: Paraphrase train loss :: 6.721
Epoch 0: STS train loss :: 57.540
Epoch 0: SST train loss :: 129.901
Epoch 0: SST train loss :: 140.960
Epoch 0: STS train loss :: 66.471
Epoch 0: Paraphrase train loss :: 7.420
Epoch 0: STS train loss :: 72.826
Epoch 0: Paraphrase train loss :: 8.067
Epoch 0: SST train loss :: 154.765
Epoch 0: SST train loss :: 167.026
Epoch 0: STS train loss :: 78.141
Epoch 0: Paraphrase train loss :: 8.719
Epoch 0: SST train loss :: 179.910
Epoch 0: Paraphrase train loss :: 9.361
Epoch 0: STS train loss :: 84.253
Epoch 0: STS train loss :: 90.665
Epoch 0: Paraphrase train loss :: 9.962
Epoch 0: SST train loss :: 191.690
Epoch 0: Paraphrase train loss :: 10.690
Epoch 0: STS train loss :: 94.876
Epoch 0: SST train loss :: 204.271
Epoch 0: SST train loss :: 217.359
Epoch 0: Paraphrase train loss :: 11.265
Epoch 0: STS train loss :: 99.053
Epoch 0: SST train loss :: 230.604
Epoch 0: Paraphrase train loss :: 11.907
Epoch 0: STS train loss :: 103.960
Epoch 0: SST train loss :: 242.925
Epoch 0: Paraphrase train loss :: 12.600
Epoch 0: STS train loss :: 105.827
Epoch 0: SST train loss :: 255.976
Epoch 0: Paraphrase train loss :: 13.189
Epoch 0: STS train loss :: 110.623
Epoch 0: SST train loss :: 269.648
Epoch 0: Paraphrase train loss :: 13.823
Epoch 0: STS train loss :: 115.719
Epoch 0: SST train loss :: 283.381
Epoch 0: STS train loss :: 119.120
Epoch 0: Paraphrase train loss :: 14.482
Epoch 0: Paraphrase train loss :: 15.214
Epoch 0: STS train loss :: 124.832
Epoch 0: SST train loss :: 296.291
Epoch 0: Paraphrase train loss :: 15.766
Epoch 0: STS train loss :: 128.316
Epoch 0: SST train loss :: 308.667
Epoch 0: STS train loss :: 132.396
Epoch 0: SST train loss :: 320.557
Epoch 0: Paraphrase train loss :: 16.395
Epoch 0: STS train loss :: 136.540
Epoch 0: Paraphrase train loss :: 17.056
Epoch 0: SST train loss :: 332.178
Epoch 0: STS train loss :: 140.458
Epoch 0: Paraphrase train loss :: 17.521
Epoch 0: SST train loss :: 345.028
Epoch 0: Paraphrase train loss :: 18.172
Epoch 0: SST train loss :: 358.245
Epoch 0: STS train loss :: 146.213
Epoch 0: STS train loss :: 152.726
Epoch 0: Paraphrase train loss :: 18.702
Epoch 0: SST train loss :: 372.069
Epoch 0: Paraphrase train loss :: 19.279
Epoch 0: STS train loss :: 155.096
Epoch 0: SST train loss :: 383.270
Epoch 0: SST train loss :: 397.743
Epoch 0: Paraphrase train loss :: 20.020
Epoch 0: STS train loss :: 161.407
Epoch 0: SST train loss :: 409.372
Epoch 0: STS train loss :: 168.191
Epoch 0: Paraphrase train loss :: 20.632
Epoch 0: Paraphrase train loss :: 21.338
Epoch 0: SST train loss :: 423.631
Epoch 0: STS train loss :: 171.673
Epoch 0: STS train loss :: 175.388
Epoch 0: Paraphrase train loss :: 22.105
Epoch 0: SST train loss :: 438.646
Epoch 0: STS train loss :: 178.312
Epoch 0: Paraphrase train loss :: 22.717
Epoch 0: SST train loss :: 451.005
Epoch 0: Paraphrase train loss :: 23.415
Epoch 0: STS train loss :: 183.232
Epoch 0: SST train loss :: 461.872
Epoch 0: STS train loss :: 187.914
Epoch 0: SST train loss :: 472.980
Epoch 0: Paraphrase train loss :: 24.081
Epoch 0: STS train loss :: 193.347
Epoch 0: Paraphrase train loss :: 24.827
Epoch 0: SST train loss :: 486.736
Epoch 0: SST train loss :: 501.381
Epoch 0: Paraphrase train loss :: 25.632
Epoch 0: STS train loss :: 194.959
Epoch 0: SST train loss :: 512.719
Epoch 0: STS train loss :: 197.288
Epoch 0: Paraphrase train loss :: 26.356
Epoch 0: SST train loss :: 525.574
Epoch 0: STS train loss :: 200.634
Epoch 0: Paraphrase train loss :: 27.001
Epoch 0: Paraphrase train loss :: 27.655
Epoch 0: SST train loss :: 540.190
Epoch 0: STS train loss :: 202.695
Epoch 0: STS train loss :: 207.009
Epoch 0: SST train loss :: 554.614
Epoch 0: Paraphrase train loss :: 28.200
Epoch 0: Paraphrase train loss :: 28.851
Epoch 0: SST train loss :: 565.449
