Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: Paraphrase train loss :: 0.644
Epoch 0: SST train loss :: 1.603
Epoch 0: STS train loss :: 2.351
Epoch 0: SST train loss :: 3.389
Epoch 0: Paraphrase train loss :: 1.276
Epoch 0: STS train loss :: 7.147
Epoch 0: SST train loss :: 5.055
Epoch 0: Paraphrase train loss :: 1.813
Epoch 0: STS train loss :: 12.724
Epoch 0: STS train loss :: 17.587
Epoch 0: SST train loss :: 6.682
Epoch 0: Paraphrase train loss :: 2.407
Epoch 0: SST train loss :: 8.483
Epoch 0: STS train loss :: 24.744
Epoch 0: Paraphrase train loss :: 3.116
Epoch 0: SST train loss :: 10.202
Epoch 0: STS train loss :: 28.085
Epoch 0: Paraphrase train loss :: 3.882
Epoch 0: Paraphrase train loss :: 4.612
Epoch 0: SST train loss :: 11.826
Epoch 0: STS train loss :: 29.419
Epoch 0: STS train loss :: 37.256
Epoch 0: SST train loss :: 13.456
Epoch 0: Paraphrase train loss :: 5.086
Epoch 0: STS train loss :: 41.343
Epoch 0: Paraphrase train loss :: 5.549
Epoch 0: SST train loss :: 14.848
Epoch 0: Paraphrase train loss :: 6.045
Epoch 0: STS train loss :: 46.174
Epoch 0: SST train loss :: 16.439
Epoch 0: SST train loss :: 18.203
Epoch 0: STS train loss :: 48.133
Epoch 0: Paraphrase train loss :: 6.732
Epoch 0: STS train loss :: 50.489
Epoch 0: Paraphrase train loss :: 7.265
Epoch 0: SST train loss :: 19.615
Epoch 0: SST train loss :: 21.221
Epoch 0: STS train loss :: 56.812
Epoch 0: Paraphrase train loss :: 7.990
Epoch 0: SST train loss :: 22.814
Epoch 0: Paraphrase train loss :: 8.637
Epoch 0: STS train loss :: 58.581
Epoch 0: STS train loss :: 62.921
Epoch 0: Paraphrase train loss :: 9.430
Epoch 0: SST train loss :: 24.425
Epoch 0: Paraphrase train loss :: 10.306
Epoch 0: STS train loss :: 65.952
Epoch 0: SST train loss :: 25.968
Epoch 0: SST train loss :: 27.252
Epoch 0: Paraphrase train loss :: 10.993
Epoch 0: STS train loss :: 68.523
Epoch 0: SST train loss :: 28.839
Epoch 0: Paraphrase train loss :: 11.728
Epoch 0: STS train loss :: 72.913
Epoch 0: SST train loss :: 30.510
Epoch 0: Paraphrase train loss :: 12.400
Epoch 0: STS train loss :: 78.218
Epoch 0: SST train loss :: 32.082
Epoch 0: Paraphrase train loss :: 13.058
Epoch 0: STS train loss :: 82.786
Epoch 0: SST train loss :: 33.829
Epoch 0: Paraphrase train loss :: 13.792
Epoch 0: STS train loss :: 88.963
Epoch 0: SST train loss :: 35.401
Epoch 0: STS train loss :: 95.203
Epoch 0: Paraphrase train loss :: 14.623
Epoch 0: Paraphrase train loss :: 15.183
Epoch 0: STS train loss :: 98.400
Epoch 0: SST train loss :: 37.020
Epoch 0: Paraphrase train loss :: 15.859
Epoch 0: STS train loss :: 102.534
Epoch 0: SST train loss :: 38.740
Epoch 0: STS train loss :: 107.662
Epoch 0: SST train loss :: 40.504
Epoch 0: Paraphrase train loss :: 16.493
Epoch 0: STS train loss :: 109.600
Epoch 0: Paraphrase train loss :: 17.208
Epoch 0: SST train loss :: 42.209
Epoch 0: STS train loss :: 110.951
Epoch 0: Paraphrase train loss :: 17.936
Epoch 0: SST train loss :: 43.912
Epoch 0: Paraphrase train loss :: 18.695
Epoch 0: SST train loss :: 45.576
Epoch 0: STS train loss :: 118.632
Epoch 0: STS train loss :: 123.134
Epoch 0: Paraphrase train loss :: 19.316
Epoch 0: SST train loss :: 47.229
Epoch 0: Paraphrase train loss :: 20.000
Epoch 0: STS train loss :: 128.095
Epoch 0: SST train loss :: 48.648
Epoch 0: SST train loss :: 50.244
Epoch 0: Paraphrase train loss :: 20.773
Epoch 0: STS train loss :: 130.462
Epoch 0: SST train loss :: 51.603
Epoch 0: STS train loss :: 133.990
Epoch 0: Paraphrase train loss :: 21.465
Epoch 0: Paraphrase train loss :: 22.056
Epoch 0: SST train loss :: 53.031
Epoch 0: STS train loss :: 136.580
Epoch 0: STS train loss :: 141.319
Epoch 0: Paraphrase train loss :: 22.893
Epoch 0: SST train loss :: 54.692
Epoch 0: STS train loss :: 146.307
Epoch 0: Paraphrase train loss :: 23.400
Epoch 0: SST train loss :: 56.487
Epoch 0: Paraphrase train loss :: 24.120
Epoch 0: STS train loss :: 149.939
Epoch 0: SST train loss :: 58.247
Epoch 0: STS train loss :: 156.072
Epoch 0: SST train loss :: 59.627
Epoch 0: Paraphrase train loss :: 24.699
Epoch 0: STS train loss :: 160.060
Epoch 0: Paraphrase train loss :: 25.313
Epoch 0: SST train loss :: 61.229
Epoch 0: SST train loss :: 63.062
Epoch 0: Paraphrase train loss :: 25.970
Epoch 0: STS train loss :: 161.846
Epoch 0: SST train loss :: 64.729
Epoch 0: STS train loss :: 169.655
Epoch 0: Paraphrase train loss :: 26.745
Epoch 0: SST train loss :: 66.421
Epoch 0: STS train loss :: 173.788
Epoch 0: Paraphrase train loss :: 27.566
Epoch 0: Paraphrase train loss :: 28.124
Epoch 0: SST train loss :: 68.120
Epoch 0: STS train loss :: 175.840
Epoch 0: STS train loss :: 180.419
Epoch 0: SST train loss :: 69.685
Epoch 0: Paraphrase train loss :: 28.762
Epoch 0: Paraphrase train loss :: 29.507
Epoch 0: SST train loss :: 71.345
Epoch 0: STS train loss :: 184.156
Epoch 0: Paraphrase train loss :: 29.999
Epoch 0: STS train loss :: 187.010
Epoch 0: SST train loss :: 72.902
Epoch 0: STS train loss :: 190.785
Epoch 0: Paraphrase train loss :: 30.695
Epoch 0: SST train loss :: 74.462
Epoch 0: SST train loss :: 76.008
Epoch 0: Paraphrase train loss :: 31.463
Epoch 0: STS train loss :: 193.925
Epoch 0: STS train loss :: 195.588
Epoch 0: Paraphrase train loss :: 31.962
Epoch 0: SST train loss :: 77.519
Epoch 0: SST train loss :: 79.052
Epoch 0: STS train loss :: 197.758
Epoch 0: Paraphrase train loss :: 32.570
Epoch 0: SST train loss :: 80.540
Epoch 0: Paraphrase train loss :: 33.428
Epoch 0: STS train loss :: 204.743
Epoch 0: SST train loss :: 82.302
Epoch 0: Paraphrase train loss :: 34.030
Epoch 0: STS train loss :: 207.218
Epoch 0: Paraphrase train loss :: 34.714
Epoch 0: SST train loss :: 83.871
Epoch 0: STS train loss :: 208.352
Epoch 0: Paraphrase train loss :: 35.649
Epoch 0: STS train loss :: 209.916
Epoch 0: SST train loss :: 85.471
Epoch 0: STS train loss :: 212.278
Epoch 0: Paraphrase train loss :: 36.281
Epoch 0: SST train loss :: 87.069
Epoch 0: Paraphrase train loss :: 37.188
Epoch 0: SST train loss :: 88.709
Epoch 0: STS train loss :: 214.442
Epoch 0: SST train loss :: 90.093
Epoch 0: STS train loss :: 216.085
Epoch 0: Paraphrase train loss :: 37.862
Epoch 0: SST train loss :: 91.638
Epoch 0: STS train loss :: 217.523
Epoch 0: Paraphrase train loss :: 38.480
Epoch 0: STS train loss :: 221.035
Epoch 0: Paraphrase train loss :: 39.007
Epoch 0: SST train loss :: 93.372
Epoch 0: STS train loss :: 224.982
Epoch 0: SST train loss :: 94.900
Epoch 0: Paraphrase train loss :: 39.585
Epoch 0: STS train loss :: 227.025
Epoch 0: Paraphrase train loss :: 40.044
Epoch 0: SST train loss :: 96.533
Epoch 0: STS train loss :: 229.394
Epoch 0: SST train loss :: 98.152
Epoch 0: Paraphrase train loss :: 40.701
Epoch 0: STS train loss :: 232.152
Epoch 0: SST train loss :: 99.873
Epoch 0: Paraphrase train loss :: 41.481
Epoch 0: Paraphrase train loss :: 42.172
Epoch 0: STS train loss :: 234.935
Epoch 0: SST train loss :: 101.348
Epoch 0: Paraphrase train loss :: 43.010
Epoch 0: STS train loss :: 236.317
Epoch 0: SST train loss :: 103.013
Epoch 0: SST train loss :: 104.421
Epoch 0: Paraphrase train loss :: 43.650
Epoch 0: STS train loss :: 243.395
Epoch 0: STS train loss :: 245.305
Epoch 0: SST train loss :: 106.038
Epoch 0: Paraphrase train loss :: 44.473
Epoch 0: STS train loss :: 249.707
Epoch 0: Paraphrase train loss :: 45.153
Epoch 0: SST train loss :: 107.738
Epoch 0: SST train loss :: 109.578
Epoch 0: Paraphrase train loss :: 45.861
Epoch 0: STS train loss :: 253.513
Epoch 0: SST train loss :: 111.296
Epoch 0: Paraphrase train loss :: 46.322
Epoch 0: STS train loss :: 254.725
Epoch 0: STS train loss :: 257.875
Epoch 0: SST train loss :: 113.015
Epoch 0: Paraphrase train loss :: 46.965
Epoch 0: Paraphrase train loss :: 47.719
Epoch 0: STS train loss :: 260.156
Epoch 0: SST train loss :: 114.612
Epoch 0: STS train loss :: 264.311
Epoch 0: Paraphrase train loss :: 48.368
Epoch 0: SST train loss :: 116.225
Epoch 0: Paraphrase train loss :: 48.897
Epoch 0: SST train loss :: 117.884
Epoch 0: STS train loss :: 270.087
Epoch 0: Paraphrase train loss :: 49.446
Epoch 0: STS train loss :: 275.084
Epoch 0: SST train loss :: 119.540
Epoch 0: STS train loss :: 278.587
Epoch 0: Paraphrase train loss :: 50.053
Epoch 0: SST train loss :: 121.157
Epoch 0: Paraphrase train loss :: 50.531
Epoch 0: STS train loss :: 281.191
Epoch 0: SST train loss :: 122.803
Epoch 0: SST train loss :: 124.400
Epoch 0: Paraphrase train loss :: 51.138
Epoch 0: STS train loss :: 283.069
Epoch 0: SST train loss :: 126.008
Epoch 0: Paraphrase train loss :: 51.875
Epoch 0: STS train loss :: 286.495
Epoch 0: SST train loss :: 127.783
Epoch 0: Paraphrase train loss :: 52.537
Epoch 0: STS train loss :: 288.480
Epoch 0: STS train loss :: 290.014
Epoch 0: SST train loss :: 129.423
Epoch 0: Paraphrase train loss :: 53.183
Epoch 0: Paraphrase train loss :: 53.753
Epoch 0: STS train loss :: 294.957
Epoch 0: SST train loss :: 130.957
Epoch 0: Paraphrase train loss :: 54.660
Epoch 0: STS train loss :: 298.843
Epoch 0: SST train loss :: 132.484
Epoch 0: SST train loss :: 133.961
Epoch 0: STS train loss :: 300.666
Epoch 0: Paraphrase train loss :: 55.197
Epoch 0: Paraphrase train loss :: 55.776
Epoch 0: SST train loss :: 135.662
Epoch 0: STS train loss :: 306.892
