Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: SST train loss :: 1.622
Epoch 0: Paraphrase train loss :: 0.094
Epoch 0: STS train loss :: 2.775
Epoch 0: SST train loss :: 3.180
Epoch 0: Paraphrase train loss :: 0.147
Epoch 0: STS train loss :: 8.973
Epoch 0: SST train loss :: 4.750
Epoch 0: Paraphrase train loss :: 0.176
Epoch 0: STS train loss :: 13.185
Epoch 0: SST train loss :: 6.310
Epoch 0: Paraphrase train loss :: 0.176
Epoch 0: STS train loss :: 19.669
Epoch 0: SST train loss :: 7.966
Epoch 0: Paraphrase train loss :: 0.216
Epoch 0: STS train loss :: 24.683
Epoch 0: SST train loss :: 9.777
Epoch 0: Paraphrase train loss :: 0.365
Epoch 0: STS train loss :: 28.403
Epoch 0: SST train loss :: 11.287
Epoch 0: Paraphrase train loss :: 0.396
Epoch 0: STS train loss :: 34.010
Epoch 0: SST train loss :: 12.864
Epoch 0: Paraphrase train loss :: 0.402
Epoch 0: STS train loss :: 36.884
Epoch 0: SST train loss :: 14.547
Epoch 0: Paraphrase train loss :: 0.421
Epoch 0: STS train loss :: 39.866
Epoch 0: SST train loss :: 16.185
Epoch 0: Paraphrase train loss :: 0.467
Epoch 0: STS train loss :: 42.613
Epoch 0: SST train loss :: 17.708
Epoch 0: Paraphrase train loss :: 0.531
Epoch 0: STS train loss :: 47.828
Epoch 0: SST train loss :: 19.204
Epoch 0: Paraphrase train loss :: 0.542
Epoch 0: STS train loss :: 51.284
Epoch 0: SST train loss :: 20.907
Epoch 0: Paraphrase train loss :: 0.642
Epoch 0: STS train loss :: 56.896
Epoch 0: SST train loss :: 22.347
Epoch 0: Paraphrase train loss :: 0.661
Epoch 0: STS train loss :: 59.976
Epoch 0: SST train loss :: 23.996
Epoch 0: Paraphrase train loss :: 0.665
Epoch 0: STS train loss :: 63.338
Epoch 0: SST train loss :: 25.720
Epoch 0: Paraphrase train loss :: 0.716
Epoch 0: STS train loss :: 68.574
Epoch 0: SST train loss :: 27.448
Epoch 0: Paraphrase train loss :: 0.767
Epoch 0: STS train loss :: 70.990
Epoch 0: SST train loss :: 29.058
Epoch 0: Paraphrase train loss :: 0.851
Epoch 0: STS train loss :: 73.839
Epoch 0: SST train loss :: 30.678
Epoch 0: Paraphrase train loss :: 0.872
Epoch 0: STS train loss :: 77.478
Epoch 0: SST train loss :: 32.194
Epoch 0: Paraphrase train loss :: 0.943
Epoch 0: STS train loss :: 81.785
Epoch 0: SST train loss :: 33.878
Epoch 0: Paraphrase train loss :: 0.986
Epoch 0: STS train loss :: 88.018
Epoch 0: SST train loss :: 35.454
Epoch 0: Paraphrase train loss :: 1.054
Epoch 0: STS train loss :: 91.868
Epoch 0: SST train loss :: 37.246
Epoch 0: Paraphrase train loss :: 1.133
Epoch 0: STS train loss :: 94.866
Epoch 0: SST train loss :: 38.826
Epoch 0: Paraphrase train loss :: 1.207
Epoch 0: STS train loss :: 100.209
Epoch 0: SST train loss :: 40.283
Epoch 0: Paraphrase train loss :: 1.225
Epoch 0: STS train loss :: 108.858
Epoch 0: SST train loss :: 41.913
Epoch 0: Paraphrase train loss :: 1.292
Epoch 0: STS train loss :: 111.320
Epoch 0: SST train loss :: 43.545
Epoch 0: Paraphrase train loss :: 1.345
Epoch 0: STS train loss :: 113.472
Epoch 0: SST train loss :: 44.988
Epoch 0: Paraphrase train loss :: 1.511
Epoch 0: STS train loss :: 116.602
Epoch 0: SST train loss :: 46.588
Epoch 0: Paraphrase train loss :: 1.597
Epoch 0: STS train loss :: 118.190
Epoch 0: SST train loss :: 48.112
Epoch 0: Paraphrase train loss :: 1.687
Epoch 0: STS train loss :: 119.941
Epoch 0: SST train loss :: 49.719
Epoch 0: Paraphrase train loss :: 1.755
Epoch 0: STS train loss :: 122.895
Epoch 0: SST train loss :: 51.194
Epoch 0: Paraphrase train loss :: 1.780
Epoch 0: STS train loss :: 128.265
Epoch 0: SST train loss :: 52.850
Epoch 0: Paraphrase train loss :: 1.821
Epoch 0: STS train loss :: 132.984
Epoch 0: SST train loss :: 54.421
Epoch 0: Paraphrase train loss :: 1.832
Epoch 0: STS train loss :: 138.625
Epoch 0: SST train loss :: 55.911
Epoch 0: Paraphrase train loss :: 1.850
Epoch 0: STS train loss :: 142.826
Epoch 0: SST train loss :: 57.325
Epoch 0: Paraphrase train loss :: 1.876
Epoch 0: STS train loss :: 145.432
Epoch 0: SST train loss :: 58.736
Epoch 0: Paraphrase train loss :: 1.886
Epoch 0: STS train loss :: 148.588
Epoch 0: SST train loss :: 60.145
Epoch 0: Paraphrase train loss :: 1.908
Epoch 0: STS train loss :: 152.083
Epoch 0: SST train loss :: 61.707
Epoch 0: Paraphrase train loss :: 1.917
Epoch 0: STS train loss :: 159.202
Epoch 0: SST train loss :: 63.172
Epoch 0: Paraphrase train loss :: 1.921
Epoch 0: STS train loss :: 161.055
Epoch 0: SST train loss :: 64.735
Epoch 0: Paraphrase train loss :: 1.983
Epoch 0: STS train loss :: 165.435
Epoch 0: SST train loss :: 66.297
Epoch 0: Paraphrase train loss :: 2.002
Epoch 0: STS train loss :: 168.093
Epoch 0: SST train loss :: 67.751
Epoch 0: Paraphrase train loss :: 2.030
Epoch 0: STS train loss :: 171.398
Epoch 0: SST train loss :: 69.457
Epoch 0: Paraphrase train loss :: 2.044
Epoch 0: STS train loss :: 176.940
Epoch 0: SST train loss :: 70.902
Epoch 0: Paraphrase train loss :: 2.088
Epoch 0: STS train loss :: 178.384
Epoch 0: SST train loss :: 72.392
Epoch 0: Paraphrase train loss :: 2.127
Epoch 0: STS train loss :: 181.971
Epoch 0: SST train loss :: 74.070
Epoch 0: Paraphrase train loss :: 2.160
Epoch 0: STS train loss :: 187.919
Epoch 0: SST train loss :: 75.578
Epoch 0: Paraphrase train loss :: 2.200
Epoch 0: STS train loss :: 190.733
Epoch 0: SST train loss :: 76.900
Epoch 0: Paraphrase train loss :: 2.263
Epoch 0: STS train loss :: 194.937
Epoch 0: SST train loss :: 78.268
Epoch 0: Paraphrase train loss :: 2.295
Epoch 0: STS train loss :: 196.319
Epoch 0: SST train loss :: 79.902
Epoch 0: Paraphrase train loss :: 2.308
Epoch 0: STS train loss :: 203.313
Epoch 0: SST train loss :: 81.398
Epoch 0: Paraphrase train loss :: 2.355
