Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: Paraphrase train loss :: 0.743
Epoch 0: SST train loss :: 12.825
Epoch 0: STS train loss :: 7.390
Epoch 0: SST train loss :: 13.196
Epoch 0: STS train loss :: 4.658
Epoch 0: Paraphrase train loss :: 0.700
Epoch 0: STS train loss :: 4.245
Epoch 0: Paraphrase train loss :: 0.718
Epoch 0: SST train loss :: 12.960
Epoch 0: SST train loss :: 12.000
Epoch 0: STS train loss :: 4.640
Epoch 0: Paraphrase train loss :: 0.846
Epoch 0: SST train loss :: 12.784
Epoch 0: Paraphrase train loss :: 0.781
Epoch 0: STS train loss :: 4.967
Epoch 0: SST train loss :: 14.029
Epoch 0: Paraphrase train loss :: 0.716
Epoch 0: STS train loss :: 4.547
Epoch 0: STS train loss :: 3.972
Epoch 0: SST train loss :: 12.293
Epoch 0: Paraphrase train loss :: 0.685
Epoch 0: STS train loss :: 7.777
Epoch 0: Paraphrase train loss :: 0.715
Epoch 0: SST train loss :: 11.633
Epoch 0: Paraphrase train loss :: 0.658
Epoch 0: SST train loss :: 12.819
Epoch 0: STS train loss :: 7.781
Epoch 0: STS train loss :: 4.968
Epoch 0: SST train loss :: 12.571
Epoch 0: Paraphrase train loss :: 0.771
Epoch 0: SST train loss :: 12.787
Epoch 0: STS train loss :: 6.961
Epoch 0: Paraphrase train loss :: 0.650
Epoch 0: Paraphrase train loss :: 0.726
Epoch 0: STS train loss :: 8.376
Epoch 0: SST train loss :: 11.706
Epoch 0: SST train loss :: 12.343
Epoch 0: STS train loss :: 4.516
Epoch 0: Paraphrase train loss :: 0.691
Epoch 0: Paraphrase train loss :: 0.697
Epoch 0: STS train loss :: 6.242
Epoch 0: SST train loss :: 11.945
Epoch 0: SST train loss :: 13.902
Epoch 0: STS train loss :: 10.362
Epoch 0: Paraphrase train loss :: 0.636
Epoch 0: STS train loss :: 3.801
Epoch 0: SST train loss :: 12.387
Epoch 0: Paraphrase train loss :: 0.673
Epoch 0: SST train loss :: 12.813
Epoch 0: Paraphrase train loss :: 0.640
Epoch 0: STS train loss :: 5.770
Epoch 0: SST train loss :: 11.628
Epoch 0: Paraphrase train loss :: 0.679
Epoch 0: STS train loss :: 8.066
Epoch 0: Paraphrase train loss :: 0.577
Epoch 0: SST train loss :: 13.095
Epoch 0: STS train loss :: 3.548
Epoch 0: SST train loss :: 11.518
Epoch 0: Paraphrase train loss :: 0.692
Epoch 0: STS train loss :: 4.061
Epoch 0: Paraphrase train loss :: 0.617
Epoch 0: STS train loss :: 2.891
Epoch 0: SST train loss :: 14.185
Epoch 0: STS train loss :: 6.890
Epoch 0: SST train loss :: 11.852
Epoch 0: Paraphrase train loss :: 0.658
Epoch 0: STS train loss :: 2.853
Epoch 0: SST train loss :: 14.606
Epoch 0: Paraphrase train loss :: 0.698
Epoch 0: STS train loss :: 6.283
Epoch 0: SST train loss :: 12.789
Epoch 0: Paraphrase train loss :: 0.686
Epoch 0: SST train loss :: 12.062
Epoch 0: STS train loss :: 4.098
Epoch 0: Paraphrase train loss :: 0.581
Epoch 0: STS train loss :: 4.188
Epoch 0: Paraphrase train loss :: 0.827
Epoch 0: SST train loss :: 13.871
Epoch 0: STS train loss :: 5.282
Epoch 0: SST train loss :: 13.079
Epoch 0: Paraphrase train loss :: 0.588
Epoch 0: SST train loss :: 10.876
Epoch 0: STS train loss :: 5.588
Epoch 0: Paraphrase train loss :: 0.696
Epoch 0: SST train loss :: 13.703
Epoch 0: STS train loss :: 7.031
Epoch 0: Paraphrase train loss :: 0.646
Epoch 0: SST train loss :: 12.327
Epoch 0: STS train loss :: 5.214
Epoch 0: Paraphrase train loss :: 0.712
Epoch 0: SST train loss :: 13.656
Epoch 0: STS train loss :: 8.203
Epoch 0: Paraphrase train loss :: 0.669
Epoch 0: Paraphrase train loss :: 0.649
Epoch 0: SST train loss :: 13.287
Epoch 0: STS train loss :: 2.903
Epoch 0: STS train loss :: 4.508
Epoch 0: Paraphrase train loss :: 0.784
Epoch 0: SST train loss :: 13.622
Epoch 0: Paraphrase train loss :: 0.625
Epoch 0: SST train loss :: 12.353
Epoch 0: STS train loss :: 3.689
Epoch 0: STS train loss :: 4.836
Epoch 0: Paraphrase train loss :: 0.700
Epoch 0: SST train loss :: 13.814
Epoch 0: SST train loss :: 12.452
Epoch 0: STS train loss :: 5.196
Epoch 0: Paraphrase train loss :: 0.687
Epoch 0: STS train loss :: 5.350
Epoch 0: Paraphrase train loss :: 0.650
Epoch 0: SST train loss :: 10.618
Epoch 0: Paraphrase train loss :: 0.689
Epoch 0: STS train loss :: 6.048
Epoch 0: SST train loss :: 10.924
Epoch 0: SST train loss :: 11.973
Epoch 0: STS train loss :: 1.791
Epoch 0: Paraphrase train loss :: 0.629
Epoch 0: STS train loss :: 7.713
Epoch 0: SST train loss :: 12.969
Epoch 0: Paraphrase train loss :: 0.552
Epoch 0: Paraphrase train loss :: 0.793
Epoch 0: STS train loss :: 4.640
Epoch 0: SST train loss :: 11.672
Epoch 0: Paraphrase train loss :: 0.636
Epoch 0: STS train loss :: 6.495
Epoch 0: SST train loss :: 11.535
Epoch 0: SST train loss :: 11.297
Epoch 0: Paraphrase train loss :: 0.705
Epoch 0: STS train loss :: 4.099
Epoch 0: SST train loss :: 13.241
Epoch 0: STS train loss :: 1.953
Epoch 0: Paraphrase train loss :: 0.627
Epoch 0: STS train loss :: 7.749
Epoch 0: SST train loss :: 11.878
Epoch 0: Paraphrase train loss :: 0.702
Epoch 0: STS train loss :: 4.790
Epoch 0: Paraphrase train loss :: 0.695
Epoch 0: SST train loss :: 11.655
Epoch 0: STS train loss :: 3.571
Epoch 0: Paraphrase train loss :: 0.643
Epoch 0: SST train loss :: 12.368
Epoch 0: STS train loss :: 4.553
Epoch 0: Paraphrase train loss :: 0.774
Epoch 0: SST train loss :: 11.750
Epoch 0: Paraphrase train loss :: 0.812
Epoch 0: STS train loss :: 3.320
Epoch 0: SST train loss :: 10.882
Epoch 0: SST train loss :: 10.158
Epoch 0: STS train loss :: 4.769
Epoch 0: Paraphrase train loss :: 0.753
Epoch 0: SST train loss :: 12.751
Epoch 0: Paraphrase train loss :: 0.574
Epoch 0: STS train loss :: 2.409
Epoch 0: Paraphrase train loss :: 0.652
Epoch 0: SST train loss :: 11.151
Epoch 0: STS train loss :: 4.505
Epoch 0: SST train loss :: 11.738
Epoch 0: STS train loss :: 1.577
Epoch 0: Paraphrase train loss :: 0.613
Epoch 0: Paraphrase train loss :: 0.684
Epoch 0: SST train loss :: 11.642
Epoch 0: STS train loss :: 3.965
Epoch 0: SST train loss :: 12.838
Epoch 0: STS train loss :: 3.790
Epoch 0: Paraphrase train loss :: 0.713
Epoch 0: STS train loss :: 4.844
Epoch 0: Paraphrase train loss :: 0.759
Epoch 0: SST train loss :: 12.594
Epoch 0: SST train loss :: 12.875
Epoch 0: Paraphrase train loss :: 0.692
Epoch 0: STS train loss :: 6.707
Epoch 0: SST train loss :: 13.403
Epoch 0: STS train loss :: 4.673
Epoch 0: Paraphrase train loss :: 0.743
Epoch 0: SST train loss :: 13.149
Epoch 0: Paraphrase train loss :: 0.720
Epoch 0: STS train loss :: 3.333
Epoch 0: SST train loss :: 13.639
Epoch 0: STS train loss :: 2.547
Epoch 0: Paraphrase train loss :: 0.664
Epoch 0: STS train loss :: 3.566
Epoch 0: Paraphrase train loss :: 0.765
Epoch 0: SST train loss :: 11.612
Epoch 0: STS train loss :: 1.481
Epoch 0: SST train loss :: 11.343
Epoch 0: Paraphrase train loss :: 0.679
Epoch 0: Paraphrase train loss :: 0.605
Epoch 0: STS train loss :: 2.833
Epoch 0: SST train loss :: 10.048
Epoch 0: SST train loss :: 11.713
Epoch 0: STS train loss :: 5.249
Epoch 0: Paraphrase train loss :: 0.652
Epoch 0: Paraphrase train loss :: 0.622
Epoch 0: SST train loss :: 11.486
Epoch 0: STS train loss :: 3.344
Epoch 0: STS train loss :: 3.472
Epoch 0: Paraphrase train loss :: 0.638
Epoch 0: SST train loss :: 12.448
Epoch 0: SST train loss :: 9.609
Epoch 0: STS train loss :: 3.118
Epoch 0: Paraphrase train loss :: 0.693
Epoch 0: SST train loss :: 13.526
Epoch 0: Paraphrase train loss :: 0.703
Epoch 0: STS train loss :: 5.602
Epoch 0: SST train loss :: 10.976
Epoch 0: STS train loss :: 4.525
Epoch 0: Paraphrase train loss :: 0.633
Epoch 0: STS train loss :: 3.946
Epoch 0: Paraphrase train loss :: 0.665
Epoch 0: SST train loss :: 12.096
Epoch 0: SST train loss :: 11.905
Epoch 0: Paraphrase train loss :: 0.667
Epoch 0: STS train loss :: 3.040
Epoch 0: SST train loss :: 12.740
Epoch 0: STS train loss :: 2.183
Epoch 0: Paraphrase train loss :: 0.604
Epoch 0: Paraphrase train loss :: 0.551
Epoch 0: SST train loss :: 9.919
Epoch 0: STS train loss :: 4.444
Epoch 0: Paraphrase train loss :: 0.784
Epoch 0: STS train loss :: 1.169
Epoch 0: SST train loss :: 11.539
Epoch 0: Paraphrase train loss :: 0.557
Epoch 0: STS train loss :: 2.001
Epoch 0: SST train loss :: 12.163
Epoch 0: STS train loss :: 3.001
Epoch 0: SST train loss :: 12.863
Epoch 0: Paraphrase train loss :: 0.710
Epoch 0: Paraphrase train loss :: 0.757
Epoch 0: SST train loss :: 9.943
Epoch 0: STS train loss :: 2.710
Epoch 0: SST train loss :: 11.428
Epoch 0: STS train loss :: 2.351
Epoch 0: Paraphrase train loss :: 0.703
Epoch 0: SST train loss :: 12.428
Epoch 0: Paraphrase train loss :: 0.510
Epoch 0: STS train loss :: 4.211
Epoch 0: STS train loss :: 5.304
Epoch 0: Paraphrase train loss :: 0.542
Epoch 0: SST train loss :: 12.365
Epoch 0: STS train loss :: 3.762
Epoch 0: SST train loss :: 13.037
Epoch 0: Paraphrase train loss :: 0.648
Epoch 0: STS train loss :: 5.711
Epoch 0: Paraphrase train loss :: 0.578
Epoch 0: SST train loss :: 11.622
Epoch 0: SST train loss :: 12.096
Epoch 0: Paraphrase train loss :: 0.709
Epoch 0: STS train loss :: 1.015
Epoch 0: Paraphrase train loss :: 0.632
Epoch 0: STS train loss :: 2.799
Epoch 0: SST train loss :: 11.674
Epoch 0: SST train loss :: 13.113
Epoch 0: Paraphrase train loss :: 0.688
Epoch 0: STS train loss :: 1.775
Epoch 0: STS train loss :: 4.627
Epoch 0: Paraphrase train loss :: 0.573
Epoch 0: SST train loss :: 11.180
Epoch 0: SST train loss :: 12.955
Epoch 0: Paraphrase train loss :: 0.618
Epoch 0: STS train loss :: 1.883
Epoch 0: STS train loss :: 3.409
Epoch 0: SST train loss :: 11.845
Epoch 0: Paraphrase train loss :: 0.622
Epoch 0: SST train loss :: 11.580
Epoch 0: STS train loss :: 1.562
Epoch 0: Paraphrase train loss :: 0.738
Epoch 0: SST train loss :: 12.811
Epoch 0: Paraphrase train loss :: 0.811
Epoch 0: STS train loss :: 4.310
Epoch 0: SST train loss :: 13.541
Epoch 0: Paraphrase train loss :: 0.524
Epoch 0: STS train loss :: 5.215
Epoch 0: SST train loss :: 12.444
Epoch 0: Paraphrase train loss :: 0.686
Epoch 0: STS train loss :: 4.237
Epoch 0: SST train loss :: 11.564
Epoch 0: STS train loss :: 3.502
Epoch 0: Paraphrase train loss :: 0.564
Epoch 0: Paraphrase train loss :: 0.669
Epoch 0: SST train loss :: 11.996
Epoch 0: STS train loss :: 4.600
Epoch 0: STS train loss :: 2.589
Epoch 0: SST train loss :: 12.771
Epoch 0: Paraphrase train loss :: 0.536
Epoch 0: SST train loss :: 11.528
Epoch 0: STS train loss :: 4.090
Epoch 0: Paraphrase train loss :: 0.587
Epoch 0: Paraphrase train loss :: 0.478
Epoch 0: SST train loss :: 12.136
Epoch 0: STS train loss :: 1.802
Epoch 0: Paraphrase train loss :: 0.656
Epoch 0: SST train loss :: 13.423
Epoch 0: STS train loss :: 4.075
Epoch 0: SST train loss :: 11.622
Epoch 0: STS train loss :: 4.939
Epoch 0: Paraphrase train loss :: 0.517
Epoch 0: STS train loss :: 2.487
Epoch 0: SST train loss :: 10.653
Epoch 0: Paraphrase train loss :: 0.627
Epoch 0: Paraphrase train loss :: 0.790
Epoch 0: STS train loss :: 2.858
Epoch 0: SST train loss :: 11.424
Epoch 0: STS train loss :: 6.149
Epoch 0: Paraphrase train loss :: 0.914
